lat,lon
-7.34566,112.72837
-7.34561,112.72844
-7.34558,112.72849
-7.34555,112.72852
-7.34549,112.72856
-7.34547,112.72865
-7.34543,112.72871
-7.3454,112.72876
-7.34537,112.72879
-7.34534,112.72882
-7.34531,112.72884
-7.34528,112.72886
-7.34525,112.72888
-7.34522,112.72889
-7.34517,112.7289
-7.34508,112.72891
-7.34491,112.72893
-7.34476,112.72894
-7.34461,112.72896
-7.34458,112.72896
-7.34418,112.72897
-7.34401,112.72897
-7.34392,112.72897
-7.34359,112.72898
-7.34328,112.72899
-7.34308,112.729
-7.3418,112.72899
-7.34161,112.72899
-7.3414,112.729
-7.3411,112.72897
-7.34038,112.72899
-7.34018,112.729
-7.33954,112.72901
-7.33867,112.72902
-7.33846,112.72902
-7.33817,112.72903
-7.33809,112.72904
-7.3377,112.72905
-7.33752,112.72906
-7.33729,112.72909
-7.33703,112.72913
-7.33653,112.72922
-7.33641,112.72925
-7.33609,112.72932
-7.33564,112.72945
-7.33513,112.72958
-7.33453,112.72971
-7.33418,112.72978
-7.33411,112.7298
-7.33386,112.72985
-7.33336,112.72996
-7.33279,112.73008
-7.33238,112.73017
-7.33182,112.73031
-7.33148,112.73039
-7.33115,112.73048
-7.32985,112.73078
-7.32975,112.73081
-7.32924,112.73093
-7.32906,112.73097
-7.32887,112.73099
-7.32882,112.73099
-7.32874,112.73099
-7.32865,112.73099
-7.32845,112.73097
-7.32824,112.73089
-7.32775,112.73076
-7.32759,112.73073
-7.32721,112.73069
-7.32706,112.73066
-7.32705,112.73066
-7.32692,112.73066
-7.32656,112.731
-7.32646,112.73112
-7.32593,112.73149
-7.32582,112.73157
-7.32577,112.7316
-7.32572,112.73162
-7.32554,112.73167
-7.32533,112.73174
-7.3252,112.73177
-7.32492,112.73184
-7.3245,112.73193
-7.3242,112.732
-7.32341,112.73216
-7.32214,112.73242
-7.32198,112.73245
-7.32169,112.73253
-7.3216,112.73256
-7.32143,112.7326
-7.32106,112.73268
-7.32087,112.73272
-7.32035,112.73282
-7.32021,112.73285
-7.31989,112.7329
-7.31963,112.73297
-7.31956,112.73298
-7.3193,112.73303
-7.3192,112.73305
-7.31768,112.73337
-7.3169,112.73354
-7.31645,112.73363
-7.31568,112.73379
-7.3152,112.73387
-7.31492,112.73392
-7.31399,112.73417
-7.31325,112.73432
-7.31166,112.73468
-7.31054,112.73493
-7.31048,112.73495
-7.30949,112.73514
-7.30945,112.73515
-7.30942,112.73515
-7.30873,112.73529
-7.30842,112.73535
-7.3084,112.73535
-7.30839,112.73536
-7.30835,112.73537
-7.30816,112.73545
-7.30803,112.73538
-7.30762,112.73511
-7.30751,112.73506
-7.30742,112.73505
-7.30734,112.73505
-7.30723,112.73505
-7.30717,112.73506
-7.30711,112.73507
-7.30707,112.73508
-7.30703,112.73509
-7.30679,112.73518
-7.30675,112.7352
-7.30671,112.73523
-7.30664,112.73525
-7.30651,112.73528
-7.30632,112.73541
-7.30563,112.73597
-7.3055,112.73608
-7.30549,112.73608
-7.30542,112.73613
-7.30533,112.73618
-7.30525,112.73622
-7.30513,112.73623
-7.30503,112.73625
-7.30448,112.7364
-7.30438,112.73643
-7.30431,112.73645
-7.30388,112.73656
-7.30366,112.73661
-7.30364,112.73661
-7.30314,112.73668
-7.30302,112.7367
-7.30295,112.73672
-7.3029,112.73674
-7.30286,112.73676
-7.30283,112.7368
-7.30272,112.73681
-7.30256,112.73682
-7.3024,112.73685
-7.30209,112.73692
-7.30179,112.73699
-7.30122,112.7371
-7.30077,112.73719
-7.30075,112.73719
-7.30054,112.73723
-7.30015,112.7373
-7.29964,112.7374
-7.29939,112.73744
-7.29917,112.73746
-7.29915,112.73747
-7.29902,112.73748
-7.29896,112.73749
-7.2989,112.73751
-7.29885,112.73752
-7.29877,112.73754
-7.29869,112.73758
-7.29859,112.73745
-7.29851,112.73742
-7.29842,112.73737
-7.29844,112.73722
-7.29849,112.73671
-7.2985,112.73665
-7.29851,112.73642
-7.29896,112.73642
-7.29851,112.73642
-7.2985,112.73665
-7.29849,112.73671
-7.29844,112.73722
-7.29842,112.73737
-7.29837,112.73755
-7.29828,112.7377
-7.29826,112.73776
-7.29813,112.7379
-7.29808,112.73799
-7.29803,112.73806
-7.29795,112.7382
-7.29785,112.73837
-7.29776,112.73856
-7.2977,112.73865
-7.29765,112.73874
-7.29757,112.73884
-7.2975,112.7389
-7.29743,112.73895
-7.29734,112.73901
-7.29717,112.73907
-7.29703,112.73911
-7.2969,112.73914
-7.29681,112.73915
-7.29673,112.73915
-7.2966,112.73916
-7.29636,112.73915
-7.29622,112.73914
-7.29601,112.73911
-7.29588,112.73911
-7.29587,112.73911
-7.29551,112.73913
-7.29538,112.73914
-7.29528,112.73915
-7.29515,112.73914
-7.29451,112.7391
-7.29437,112.73909
-7.29437,112.73909
-7.29375,112.73905
-7.29358,112.73904
-7.29296,112.739
-7.29263,112.73898
-7.29243,112.73897
-7.29185,112.73892
-7.29125,112.73892
-7.29117,112.73892
-7.29109,112.73892
-7.29077,112.73889
-7.29042,112.73887
-7.29009,112.73886
-7.2898,112.73888
-7.28874,112.73912
-7.28778,112.73928
-7.28728,112.73937
-7.28715,112.7394
-7.28702,112.73943
-7.287,112.73943
-7.28625,112.73957
-7.28617,112.73958
-7.28556,112.73968
-7.28499,112.73978
-7.28479,112.73982
-7.28466,112.73983
-7.28457,112.73985
-7.28454,112.73986
-7.28434,112.7399
-7.2842,112.73992
-7.28287,112.74016
-7.28189,112.74035
-7.28143,112.74043
-7.28128,112.74046
-7.28086,112.74054
-7.28034,112.74064
-7.27968,112.74077
-7.27954,112.74079
-7.2786,112.74096
-7.27829,112.74103
-7.27813,112.74106
-7.27788,112.74111
-7.27738,112.74122
-7.27731,112.74124
-7.27697,112.74133
-7.27692,112.74134
-7.27691,112.74134
-7.27672,112.74138
-7.27668,112.7414
-7.27656,112.74141
-7.27627,112.74145
-7.27605,112.7415
-7.27541,112.74162
-7.27534,112.74163
-7.27501,112.7417
-7.27492,112.74172
-7.27476,112.74176
-7.27465,112.74178
-7.27461,112.7418
-7.27454,112.74182
-7.2743,112.74189
-7.27421,112.74192
-7.27414,112.74194
-7.2737,112.74207
-7.27364,112.74208
-7.2736,112.74209
-7.27356,112.7421
-7.27351,112.74211
-7.27346,112.74211
-7.27342,112.74211
-7.27338,112.74211
-7.27322,112.74209
-7.27312,112.74206
-7.27303,112.74203
-7.2727,112.74192
-7.27267,112.7419
-7.27261,112.74188
-7.27253,112.74185
-7.27218,112.74175
-7.27207,112.74171
-7.27201,112.7417
-7.27192,112.74168
-7.27191,112.74168
-7.27176,112.74165
-7.27172,112.74165
-7.2717,112.74164
-7.27119,112.74161
-7.27105,112.7416
-7.27104,112.7416
-7.2709,112.7416
-7.27051,112.74158
-7.27036,112.74157
-7.27021,112.74157
-7.27016,112.74156
-7.27,112.74156
-7.2699,112.74156
-7.26986,112.74156
-7.2697,112.74156
