"Bus","No","Time (abs)","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN V2 compact  CAN-1","22,050","00:00:57.011","  E   ","18FEAD0B","8","03 02 02 01 FE FE FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,051","00:00:57.016","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,052","00:00:57.017","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 66","..p....f"
"USB-to-CAN V2 compact  CAN-1","22,053","00:00:57.019","  E   ","18FDC40B","8","E0 09 FF F3 FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,054","00:00:57.024","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,055","00:00:57.025","  E   "," 8FE6E0B","8","38 07 32 07 2E 07 30 07","8.2...0."
"USB-to-CAN V2 compact  CAN-1","22,056","00:00:57.027","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 77","..p....w"
"USB-to-CAN V2 compact  CAN-1","22,057","00:00:57.034","  E   "," CF00400","8","FF 7D 7D B0 17 FF FF FF",".}}....."
"USB-to-CAN V2 compact  CAN-1","22,058","00:00:57.035","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,059","00:00:57.035","  E   "," CF00300","8","FD 00 FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,060","00:00:57.036","  E   ","18F00117","8","FF FF FF FF FF FF FF F3","........"
"USB-to-CAN V2 compact  CAN-1","22,061","00:00:57.036","  E   ","18F00503","8","FF FF FF 7E FF FF FF FF","...~...."
"USB-to-CAN V2 compact  CAN-1","22,062","00:00:57.037","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 70","..p....p"
"USB-to-CAN V2 compact  CAN-1","22,063","00:00:57.038","  E   ","18FE4A03","8","FF FD C2 F0 FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,064","00:00:57.038","  E   ","18FEF100","8","F3 94 07 1F FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,065","00:00:57.039","  E   ","18FF20EF","8","FA 70 D8 0B 70 EF FF 4B",".p..p..K"
"USB-to-CAN V2 compact  CAN-1","22,066","00:00:57.045","  E   "," 8FE6E0B","8","36 07 28 07 2A 07 2A 07","6.(.*.*."
"USB-to-CAN V2 compact  CAN-1","22,067","00:00:57.045","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,068","00:00:57.046","  E   ","18F00010","8","FF 70 FF FF FF FF FF 4B",".p.....K"
"USB-to-CAN V2 compact  CAN-1","22,069","00:00:57.047","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 11","..p....."
"USB-to-CAN V2 compact  CAN-1","22,070","00:00:57.055","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,071","00:00:57.055","  E   ","18FEBF0B","8","2A 07 7D 7D 7D 7D FF FF","*.}}}}.."
"USB-to-CAN V2 compact  CAN-1","22,072","00:00:57.057","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 22","..p...."""
"USB-to-CAN V2 compact  CAN-1","22,073","00:00:57.064","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,074","00:00:57.065","  E   "," 8FE6E0B","8","30 07 1E 07 22 07 28 07","0..."".(."
"USB-to-CAN V2 compact  CAN-1","22,075","00:00:57.067","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 33","..p....3"
"USB-to-CAN V2 compact  CAN-1","22,076","00:00:57.074","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,077","00:00:57.077","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 44","..p....D"
"USB-to-CAN V2 compact  CAN-1","22,078","00:00:57.085","  E   "," 8FE6E0B","8","26 07 18 07 16 07 1E 07","&......."
"USB-to-CAN V2 compact  CAN-1","22,079","00:00:57.085","  E   "," CF00300","8","FD 00 FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,080","00:00:57.086","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,081","00:00:57.086","  E   ","18FF20EF","8","FA 70 B0 0B 70 EF FF 4B",".p..p..K"
"USB-to-CAN V2 compact  CAN-1","22,082","00:00:57.087","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 55","..p....U"
"USB-to-CAN V2 compact  CAN-1","22,083","00:00:57.095","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,084","00:00:57.096","  E   ","18F00010","8","FF 70 FF FF FF FF FF 4B",".p.....K"
"USB-to-CAN V2 compact  CAN-1","22,085","00:00:57.096","  E   ","18FED910","8","1F FF FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,086","00:00:57.097","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 66","..p....f"
"USB-to-CAN V2 compact  CAN-1","22,087","00:00:57.103","  E   "," C00000B","8","30 FF FF FA FF FF FF 52","0......R"
"USB-to-CAN V2 compact  CAN-1","22,088","00:00:57.105","  E   "," 8FE6E0B","8","16 07 16 07 12 07 16 07","........"
"USB-to-CAN V2 compact  CAN-1","22,089","00:00:57.105","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,090","00:00:57.106","  E   ","18FEBF0B","8","16 07 7D 7D 7D 7D FF FF","..}}}}.."
"USB-to-CAN V2 compact  CAN-1","22,091","00:00:57.107","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 77","..p....w"
"USB-to-CAN V2 compact  CAN-1","22,092","00:00:57.107","  E   ","18F0010B","8","40 00 F3 FF FF 01 FF F3","@......."
"USB-to-CAN V2 compact  CAN-1","22,093","00:00:57.109","  E   ","18FE4F0B","8","FF FF FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,094","00:00:57.111","  E   ","18FEAD0B","8","02 02 02 01 FE FE FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,095","00:00:57.116","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,096","00:00:57.117","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 70","..p....p"
"USB-to-CAN V2 compact  CAN-1","22,097","00:00:57.119","  E   ","18FDC40B","8","E0 09 FF F3 FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,098","00:00:57.125","  E   "," 8FE6E0B","8","0C 07 10 07 0E 07 0A 07","........"
"USB-to-CAN V2 compact  CAN-1","22,099","00:00:57.126","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,100","00:00:57.127","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 11","..p....."
"USB-to-CAN V2 compact  CAN-1","22,101","00:00:57.135","  E   "," CF00400","8","FF 7D 7D 20 17 FF FF FF",".}} ...."
"USB-to-CAN V2 compact  CAN-1","22,102","00:00:57.135","  E   "," CF00203","8","CD FF FE FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,103","00:00:57.136","  E   "," CF00300","8","FD 00 FF FF FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,104","00:00:57.136","  E   ","18F00117","8","FF FF FF FF FF FF FF F3","........"
"USB-to-CAN V2 compact  CAN-1","22,105","00:00:57.137","  E   "," CEFEF0B","8","AC FA 70 FF FF FF FF 22","..p...."""
"USB-to-CAN V2 compact  CAN-1","22,106","00:00:57.137","  E   ","18F00503","8","FF FF FF 7E FF FF FF FF","...~...."
"USB-to-CAN V2 compact  CAN-1","22,107","00:00:57.138","  E   ","18FE4A03","8","FF FD C2 F0 FF FF FF FF","........"
"USB-to-CAN V2 compact  CAN-1","22,108","00:00:57.139","  E   ","18FEF100","8","F3 66 07 1F FF FF FF FF",".f......"
